[1.0, 0.0, 0.044224, 0.022112, '', '']
[2049660.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.21616, 0.11056, '', '']
[2062000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.099504, 0.02764, '', '']
[2144400.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.066336, 0.016584, '', '']
[2482500.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.066336, 0.022112, '', '']
[2826300.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.1382, 0.033168, '', '']
[2968100.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.016584, '', '']
[3051300.0, 400.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.320624, 0.022112, '', '']
[0.0, 1.0, 0.0, 0.0, 6.0, 43.0]
[0.01, 0.0, 330000.0, 60000.0, 0.0, 0.0]
[200000.0, 70000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 1.0, 1.47, 0.15, '', '']
[230000.0, 70000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 1.0, 0.77, 0.18, '', '']
[280000.0, 70000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 1.0, 0.27, 0.13, '', '']
[290000.0, 70000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 1.0, 0.11, 0.02, '', '']
[370000.0, 70000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 1.0, 0.9, 0.2, '', '']
